Comment,Designator,Footprint,LCSC
10u,"C101,C102,C103,C104",0805,C440198 
100n,"C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C212",0603,C14663 
BC807,"Q201,Q203,Q205,Q207,Q209,Q211,Q213,Q215,Q217,Q219,Q221,Q223,Q225,Q227,Q229,Q231",SOT-23,C2926191
BC817,"Q202,Q204,Q206,Q208,Q210,Q212,Q214,Q216,Q218,Q220,Q222,Q224,Q226,Q228,Q230,Q232",SOT-23,C2926190
1k,"R201,R202,R204,R205,R207,R208,R210,R211,R213,R214,R216,R217,R219,R220,R222,R223,R225,R226,R228,R229,R231,R232,R234,R235,R237,R238,R240,R241,R243,R244,R246,R247",0603,C21190 
500,"R203,R206,R209,R212,R215,R218,R221,R224,R227,R230,R233,R236,R239,R242,R245,R248",0603,C23179
74HC595,"U205,U206,U207,U208",TSSOP-16_4.4x5mm_P0.65mm,C5948
